0,1,2,3,4,5,6,7,8,9,10,11
-0.37979344,-0.6098087,-0.59352297,-1.377245,-1.7382607,-1.698764,-1.4894077,-0.5931672,-0.83749026,-0.32149655,-0.17995201,0.076756194
0.573878,0.5891294,0.7131527,0.4246115,0.2823481,0.52207816,0.65454745,1.0282607,0.9783969,0.8221207,0.86254793,0.4696017
-0.22913893,-0.25586998,-0.15488993,-0.2556579,-0.4633426,-0.18994756,0.09789508,0.12986042,0.30414346,0.009080301,0.26528233,-0.29426455
0.60372466,0.6242889,0.8084632,0.5515189,0.39143202,0.52692187,0.75913066,0.7482798,0.85197437,0.2860501,0.6127823,0.5132512
0.8979273,0.95010006,0.96731395,0.7836108,0.59255546,0.73883426,0.9413078,1.4805377,1.2925377,1.4832743,1.329501,1.3644165
-1.7271563,-1.7946831,-1.7136772,-2.517125,-2.7319467,-2.637233,-2.702235,-2.1222937,-2.266448,-1.8850359,-2.0477643,-1.6473991
-0.1936072,-0.18320706,-0.012436643,-0.14933008,-0.27841133,-0.06764383,0.1653681,0.13909055,0.30797446,-0.13387185,0.1566886,-0.25061506
-1.4741704,-1.5931021,-1.5742984,-2.038078,-2.2777147,-2.390204,-2.452585,-1.9746115,-2.1093774,-1.6974112,-1.7979988,-1.6692238
1.9667217,1.8290869,1.9163193,1.437584,1.0348566,1.2837518,1.4186794,2.1451077,1.9131573,2.421398,2.4045792,2.3247056
-0.13675644,-0.21133465,-0.15181538,-0.09102127,-0.1539875,-0.064011045,0.099581905,0.13601385,0.22752373,-0.11600284,-0.04963951,-0.16331606
-1.6162972,-1.8415624,-1.7720933,-2.5251281,-2.6867793,-2.6771936,-2.6819932,-2.1253705,-2.224307,-1.9475774,-1.8848737,-1.6910485
-0.38405722,-0.18437906,-0.19690852,0.39145553,0.37438765,0.24235375,-0.062353335,-0.59932065,-0.38543394,-0.41977614,-0.36456138,-0.44703782
0.177344,-0.0050657215,0.06237695,-0.7632875,-1.1536392,-1.1320496,-0.98504686,-0.07627938,-0.3203072,0.3753952,0.25442296,0.8187977
-1.1415936,-1.2250996,-1.321162,-1.3326558,-0.80763865,-0.86685634,-0.95805764,-1.2792743,-1.2857156,-1.3757688,-1.396202,-1.1454298
0.6932646,0.6067092,0.64243853,-0.15390332,-0.6278207,-0.485414,-0.3305586,0.71751267,0.60296035,1.527947,1.416376,1.4517156
-0.7180554,-0.73403883,-0.7513489,-0.88676494,-0.7283824,-0.738498,-0.6561159,-0.6854686,-0.7263917,-0.7414185,-0.8532332,-0.5998111
0.19155666,0.21995492,0.17715944,0.17994317,0.48091492,0.5378202,0.5347829,0.45291534,0.33862233,0.20563951,0.44989172,0.796973
-0.42811656,-0.29806137,-0.3865046,0.31142384,0.8124277,0.5935229,0.3239297,-0.4547151,-0.20920862,-0.6252699,-0.45143637,-0.2724398
-0.5503457,-0.4234635,-0.38752943,0.071328744,0.107643425,0.15032323,-0.067413814,-0.31626302,-0.2398565,-0.39297262,-0.41885823,-0.38156357
-0.42527404,-0.09530837,-0.09647383,0.18680303,0.11275672,0.09462053,0.06753223,-0.18704106,-0.09044806,-0.22321695,-0.15823326,-0.35973883
-0.31583634,-0.38478807,-0.39675304,-0.25908783,-0.021893712,0.076456614,0.124884285,-0.14089036,-0.09811003,-0.33043104,-0.26682702,-0.11966656
-0.9554073,-0.790294,-0.8722805,-0.49346635,-0.05853908,-0.15604158,-0.3254981,-0.9192988,-0.7378846,-1.0898644,-0.80979574,-0.9708318
-0.033003807,0.06876918,0.02445773,0.0781886,0.07952023,0.19633849,0.30031413,0.3329235,0.41524205,0.31285363,0.4064542,0.09858094
0.6023034,0.7660988,0.96218973,1.1837693,0.962418,0.98586357,0.939621,0.8651949,0.8787913,0.5004783,0.51504797,0.2513542
-0.47359717,-0.33790877,-0.33526242,-0.028139222,-0.004849351,-0.2650251,-0.35923463,-0.8239207,-0.7876874,-0.8933052,-0.87495196,-0.6216358
-0.21919005,0.0054821214,0.020358356,0.62812066,0.6786295,0.32469687,0.14343937,-0.24549861,-0.14791285,-0.14280637,-0.25596762,-0.40338832
-0.07279933,-0.14804758,-0.31579039,-0.15961987,0.16559424,0.28110346,0.18054952,-0.09473966,-0.09427904,-0.13387185,-0.11479575,-0.09784181
-1.1046406,-1.3235462,-1.2022802,-1.77969,-1.9871083,-2.0463004,-1.9836475,-1.4823374,-1.6419972,-1.4115068,-1.5482332,-1.3418525
