0,1,2,3,4,5
-0.47183332,-0.6869491,-1.377245,-1.6572297,-1.6538267,-0.9104008
0.62737465,0.61457515,0.4246115,0.1944688,0.3459565,1.015336
-0.21775189,-0.054810554,-0.2556579,-0.369496,-0.3540108,0.4793393
0.6396032,0.6784275,0.5515189,0.2299808,0.36321834,0.8676962
0.9616208,1.0360007,0.7836108,0.70854765,0.61437804,1.3170348
-1.7191422,-1.8341633,-2.517125,-2.726818,-2.7171557,-2.3386557
-0.291123,0.096306734,-0.14933008,-0.22998446,-0.26770163,0.36700466
-1.4990289,-1.652184,-2.038078,-2.2186577,-2.352068,-2.1332438
1.9521309,1.7479548,1.437584,0.84636813,1.0640488,1.7792118
-0.27481833,0.007977615,-0.09102127,-0.06764377,-0.17362465,0.23220308
-1.7816435,-1.8501264,-2.5251281,-2.744574,-2.766352,-2.3386557
-0.3971035,-0.039911665,0.39145553,0.40162227,0.37098616,-0.3776136
0.13551643,-0.02394857,-0.7632875,-1.0163221,-1.1523705,-0.40008053
-1.104999,-1.4723332,-1.3326558,-0.9444526,-0.8589194,-1.2506143
0.7184092,0.5943552,-0.15390332,-0.5013978,-0.51540893,0.45045325
-0.61314064,-0.9285239,-0.88676494,-0.86666435,-0.73118186,-0.8173235
0.2550842,0.070765786,0.17994317,0.2747936,0.46247387,0.35737598
-0.49357292,-0.38684288,0.31142384,0.8007098,0.7705976,-0.19787817
-0.5846074,-0.23678981,0.071328744,0.15726572,0.0896183,-0.28132677
-0.43514776,0.019683883,0.18680303,0.1183716,0.1405407,-0.21071641
-0.27481833,-0.40919122,-0.25908783,-0.21814713,-0.019994337,-0.008514034
-0.7612417,-0.8572221,-0.49346635,-0.08032664,-0.07177983,-0.7210367
-0.057422422,0.10269197,0.0781886,0.1530381,0.13449906,0.5082254
0.6518317,1.2201085,1.1837693,1.1110172,0.9302696,0.87732494
-0.42971286,-0.3527883,-0.028139222,0.08285957,-0.07177983,-0.7659705
-0.2068821,0.06331634,0.62812066,0.7322223,0.56172943,-0.2203451
-0.20824082,-0.4549521,-0.15961987,0.059184887,0.21390349,-0.0951722
-1.24223,-1.275455,-1.77969,-1.9455534,-1.9559089,-1.6357617
1.226572,1.4265646,0.9185214,0.6907916,0.6057471,1.6700866
0.7659645,1.2233012,0.9711137,0.8260755,0.6644373,1.0024978
-0.7395021,-0.61883986,-0.34026283,-0.15642384,-0.24526125,-0.7210367
-0.56830275,-0.61883986,-0.58378786,-0.2519681,-0.26770163,-0.43217614
-0.37128773,-0.39535654,-0.20306565,0.08624167,0.09652304,-0.024561841
-1.5642477,-1.8437412,-2.4611027,-2.6355014,-2.6299834,-2.1589203
0.24693184,0.40811914,-0.26251775,-0.55382025,-0.7260033,0.010743336
-0.7748289,-0.955129,-0.7289882,-0.2697241,-0.38335592,-0.6696837
-0.36449412,-0.21444148,-0.15847656,0.09892453,-0.009637237,-0.24602158
-1.1348909,-1.1466861,-0.62952024,-0.5622755,-0.6526405,-1.3854159
0.54856867,0.42514646,0.28398436,0.0042257993,0.15780254,0.7489425
-0.18921869,-0.48049304,-1.226328,-1.4991165,-1.4320122,-0.46748132
-0.3291673,-0.48687828,-0.19963571,0.10399768,0.21735586,-0.07912439
-0.3577005,-0.3368252,-0.08644803,0.20038746,0.28381392,0.074934565
0.85564035,0.8114533,0.76074463,0.32045192,0.4080991,0.8356006
0.11785302,-0.19315736,-0.124177255,-0.03213175,0.107743226,0.17764053
1.8475091,1.5830028,1.3575524,0.8759614,1.0079478,1.5513328
-1.5194098,-1.6255789,-2.2713132,-2.5035996,-2.6308465,-2.1845968
-1.4813654,-1.5681118,-1.7774034,-1.9277974,-2.004242,-1.9278318
0.45617542,-0.050553728,0.40746185,0.60793024,0.8128891,0.16801184
0.7741169,0.5475301,0.7493115,0.8649697,1.0088109,0.6943799
