0,1,2,3,4,5,6,7
-0.37979344,-0.6869491,-1.6407002,-1.6442332,-1.69598,-1.4788127,-1.2609018,-0.6745971
0.573878,0.61457515,0.30161723,0.2003631,0.47202876,0.6618282,0.79727453,0.9310908
-0.22913893,-0.054810554,-0.44024017,-0.35882553,-0.35592628,0.06814084,0.23995359,0.13622211
0.60372466,0.6784275,0.37764227,0.31240833,0.5430497,0.63122576,0.77283067,0.82741225
0.8979273,1.0360007,0.486775,0.61015815,0.46268392,0.9540816,1.0514911,1.4840429
-1.7271563,-1.8341633,-2.652324,-2.7262993,-2.6444838,-2.5896814,-2.5564284,-2.168631
-0.1936072,0.096306734,-0.32252395,-0.15859658,-0.34564695,0.13240598,0.30350775,0.20799954
-1.4741704,-1.652184,-2.209662,-2.2687814,-2.3258238,-2.4320788,-2.2924345,-2.0702693
1.9667217,1.7479548,1.1513811,1.0365524,1.2803596,1.4360701,1.5012589,1.9253412
-0.13675644,0.007977615,-0.20235531,-0.16585878,-0.1260426,0.11863488,0.25461993,0.10963788
-1.6162972,-1.8501264,-2.6915627,-2.741861,-2.6734529,-2.5805006,-2.5808723,-2.1128042
-0.38405722,-0.039911665,0.2979386,0.33834472,0.422501,-0.12924492,-0.22936927,-0.5363591
0.177344,-0.02394857,-1.1342754,-1.0964565,-1.1950952,-0.9861133,-0.923576,-0.25456616
-1.1415936,-1.4723332,-0.7786743,-0.8485046,-0.7446727,-0.9356193,-1.0409067,-1.2355244
0.6932646,0.5943552,-0.5714447,-0.580841,-0.5717927,-0.32510057,0.00040338453,0.6200552
-0.7180554,-0.9285239,-0.6903871,-0.7644707,-0.5661858,-0.73517334,-0.6155829,-0.7703003
0.19155666,0.070765786,0.4377266,0.354944,0.6449087,0.5103461,0.40128332,0.38877234
-0.42811656,-0.38684288,0.6940046,0.77407616,0.7869507,0.320611,0.1177341,-0.3715368
-0.5503457,-0.23678981,0.14098363,0.1536776,0.105710045,-0.094052106,-0.038706854,-0.29444253
-0.42527404,0.019683883,0.020815,0.15782742,0.21504498,0.08956256,0.10306776,-0.17481346
-0.31583634,-0.40919122,-0.08218669,-0.084937215,0.081413396,0.048249256,0.08351264,-0.068476506
-0.9554073,-0.8572221,-0.1300089,-0.09531177,-0.09707353,-0.34346202,-0.48358583,-0.84207773
-0.033003807,0.10269197,0.11032837,0.14226557,0.010392422,0.33744234,0.45505992,0.4313071
0.6023034,1.2201085,0.929437,1.0614514,0.76919544,1.0734311,0.89505017,0.7875359
-0.47359717,-0.3527883,0.0551489,0.012583623,-0.09707353,-0.4169079,-0.55691755,-0.7942261
-0.21919005,0.06331634,0.63392025,0.7056041,0.59538096,0.0788517,0.05906874,-0.19608085
-0.07279933,-0.4549521,0.23785427,0.14952777,0.3944664,0.17218916,0.034624845,-0.13759552
-1.1046406,-1.275455,-2.012242,-1.9824438,-1.909043,-2.0128253,-1.9697748,-1.5678273
1.0883774,1.4265646,0.5468593,0.602896,0.47950464,1.0305877,1.2421535,1.8402717
0.81265116,1.2233012,0.68787354,0.7543645,0.5580015,0.8240212,0.9732706,0.86728865
-0.81470174,-0.61883986,-0.18028353,-0.22499375,-0.2512638,-0.34499216,-0.47869703,-0.7277655
-0.64841324,-0.61883986,-0.31148806,-0.31317747,-0.272757,-0.3342813,-0.35647756,-0.5177501
-0.34994677,-0.39535654,-0.013518896,0.19206345,0.11692388,0.009996202,0.044402402,-0.2120314
-1.5693954,-1.8437412,-2.622895,-2.6370783,-2.671584,-2.4963439,-2.4488752,-2.0968537
0.26119885,0.40811914,-0.63152903,-0.6213018,-0.69234145,-0.53013694,-0.42492047,0.008617778
-0.79054016,-0.955129,-0.3973228,-0.4324849,-0.4830165,-0.38783556,-0.52758485,-0.72244865
-0.26182812,-0.21444148,-0.055210054,-0.03825171,0.012261395,-0.104762964,-0.21470293,-0.40343788
-1.0250496,-1.1466861,-0.5285273,-0.5746163,-0.7521486,-1.2875473,-1.5102296,-1.4322478
0.59803957,0.42514646,0.20842522,0.071718596,0.3935319,0.4873943,0.4795038,0.91248184
-0.033003807,-0.48049304,-1.505817,-1.5000268,-1.4118961,-1.145246,-0.97735256,-0.27583355
-0.2575643,-0.48687828,0.19861554,0.18791363,0.38512152,0.20891209,0.054179963,-0.09506074
