0,1,2,3,4,5,6,7,8,9
-1.4533836,-1.4788127,-1.4894077,-0.7266345,-0.82584447,-0.96192265,-0.9104008,-0.8696893,-0.8016941,-0.83749026
0.6273976,0.6618282,0.65454745,1.0868404,1.0344173,1.0465657,1.015336,0.8827291,0.9955169,0.9783969
0.040043633,0.06814084,0.09789508,0.25491625,0.3464931,0.35356057,0.4793393,0.44298366,0.37220672,0.30414346
0.6273976,0.63122576,0.75913066,0.9102809,0.762114,0.91164434,0.8676962,0.8597573,0.8362265,0.85197437
0.9962012,0.9540816,0.9413078,1.3352206,1.4242411,1.3194748,1.3170348,1.2962211,1.3729658,1.2925377
-2.5901484,-2.5896814,-2.702235,-2.2558186,-2.2618864,-2.338734,-2.3386557,-2.3169112,-2.3045642,-2.266448
0.123517714,0.13240598,0.1653681,0.28484157,0.28343338,0.31063104,0.36700466,0.35437825,0.32718986,0.30797446
-2.4034703,-2.4320788,-2.452585,-2.0792592,-2.0870388,-2.1516838,-2.1332438,-2.113447,-2.0760171,-2.1093774
1.4575852,1.4360701,1.4186794,1.9875928,1.7710695,1.9572848,1.7792118,1.8409804,1.9027795,1.9131573
0.123517714,0.11863488,0.099581905,0.18908052,0.117185034,0.21863922,0.23220308,0.17060404,0.28563586,0.22752373
-2.5810423,-2.5805006,-2.6819932,-2.2677886,-2.2905498,-2.338734,-2.3386557,-2.3037846,-2.3426554,-2.224307
-0.098068014,-0.12924492,-0.062353335,-0.499202,-0.47901595,-0.311847,-0.3776136,-0.39056364,-0.4173195,-0.38543394
-0.952539,-0.9861133,-0.98504686,-0.37351564,-0.35576287,-0.47129953,-0.40008053,-0.4430706,-0.34113714,-0.3203072
-0.9889641,-0.9356193,-0.95805764,-1.1964622,-1.1726729,-1.2593629,-1.2506143,-1.2438011,-1.262251,-1.2857156
-0.2999235,-0.32510057,-0.3305586,0.44643834,0.48121163,0.45781797,0.45045325,0.4725188,0.5245714,0.60296035
-0.74157727,-0.73517334,-0.6561159,-0.7326196,-0.66532874,-0.77793896,-0.8173235,-0.8434358,-0.8190083,-0.7263917
0.48928595,0.5103461,0.5347829,0.3147669,0.40955284,0.35356057,0.35737598,0.37735003,0.29602435,0.33862233
0.27832416,0.320611,0.3239297,-0.26877698,-0.20384628,-0.19225764,-0.19787817,-0.28226814,-0.24417779,-0.20920862
-0.07833779,-0.094052106,-0.067413814,-0.3705231,-0.3070349,-0.2137224,-0.28132677,-0.29211318,-0.22686362,-0.2398565
0.015760263,0.08956256,0.06753223,-0.15506074,-0.092058584,-0.011340372,-0.21071641,-0.17397262,-0.05372191,-0.09044806
0.024866529,0.048249256,0.124884285,-0.098202616,-0.051929664,0.0009252052,-0.008514034,0.013083284,-0.09527592,-0.09811003
-0.33331317,-0.34346202,-0.3254981,-0.77750754,-0.73698753,-0.7503414,-0.7210367,-0.80405563,-0.7255117,-0.7378846
0.3147492,0.33744234,0.30031413,0.5840948,0.49840972,0.52834505,0.5082254,0.49549058,0.5453484,0.41524205
1.0174491,1.0734311,0.939621,0.8145199,0.8022429,0.8227189,0.87732494,0.9089826,0.8396893,0.8787913
-0.37580904,-0.4169079,-0.35923463,-0.68773156,-0.78858185,-0.71354467,-0.7659705,-0.81718236,-0.6804949,-0.7876874
0.1660136,0.0788517,0.14343937,-0.20892633,-0.19524722,-0.15239452,-0.2203451,-0.24288794,-0.105664425,-0.14791285
0.15842505,0.17218916,0.18054952,-0.02638183,-0.077726826,-0.08186745,-0.0951722,-0.03614195,-0.14721844,-0.09427904
-2.0149362,-2.0128253,-1.9836475,-1.6243942,-1.680017,-1.6886582,-1.6357617,-1.6277579,-1.6500885,-1.6419972
1.0781575,1.0305877,1.0543251,1.6195112,1.791134,1.647579,1.6700866,1.7261214,1.6465297,1.7867348
0.82621765,0.8240212,0.8097354,0.91925853,0.90829784,0.9975034,1.0024978,0.9811796,0.97127706,1.0052137
-0.3272423,-0.34499216,-0.36935556,-0.71466434,-0.708324,-0.7503414,-0.7210367,-0.69904184,-0.6874206,-0.7647015
-0.28171098,-0.3342813,-0.2377832,-0.44832894,-0.4761496,-0.4314364,-0.43217614,-0.46932405,-0.4865762,-0.49653253
0.061291575,0.009996202,-0.008374922,-0.09521008,-0.1321875,0.077585064,-0.024561841,-0.029578587,-0.043333407,-0.12875792
-2.503639,-2.4963439,-2.5268052,-2.1810052,-2.2131584,-2.1578166,-2.1589203,-2.1561089,-2.1729765,-2.2013211
-0.559452,-0.53013694,-0.52623034,-0.071269825,-0.017533453,-0.09106663,0.010743336,-0.0033251282,0.05016312,-0.021490319
-0.39857468,-0.38783556,-0.42839447,-0.63386595,-0.55354106,-0.6368848,-0.6696837,-0.72529525,-0.71166044,-0.7148987
-0.10110344,-0.104762964,-0.11127128,-0.30767992,-0.30990127,-0.21678878,-0.24602158,-0.26585972,-0.29265746,-0.30498323
-1.3441083,-1.2875473,-1.2380707,-1.459805,-1.4621743,-1.4770769,-1.3854159,-1.3914768,-1.4250042,-1.435124
0.47714427,0.4873943,0.58707446,0.78758705,0.87390167,0.7889886,0.7489425,0.7383351,0.7150273,0.75236875
-1.1407351,-1.145246,-1.1874659,-0.4363588,-0.4331543,-0.4835651,-0.46748132,-0.42994386,-0.43117085,-0.32796916
0.22065116,0.20891209,0.19067048,-0.05630716,-0.106390335,-0.035871528,-0.07912439,-0.11490233,-0.20608662,-0.20920862
0.18877926,0.24257478,0.1923573,0.07237175,0.031194512,0.14197935,0.074934565,0.022928331,0.11595697,0.043636438
0.6698935,0.7062018,0.66298157,0.7277364,0.7879111,0.85951567,0.8356006,0.8302222,0.8293008,0.8289885
0.1963678,0.25940612,0.29694048,0.14419253,0.14298218,0.16037771,0.17764053,0.22639264,0.022460448,0.07045333
1.3316152,1.3580339,1.3140962,1.6374664,1.5646923,1.6383797,1.5513328,1.5489106,1.6153642,1.7101151
-2.58256,-2.5713198,-2.5268052,-2.1391098,-2.1472323,-2.145551,-2.1845968,-2.2086158,-2.2283819,-2.1974902
-2.0650208,-2.084741,-2.1793191,-1.8877372,-1.9379886,-1.927837,-1.9278318,-1.9198277,-2.0032976,-1.9906169
0.7882749,0.78576815,0.7118995,0.38958022,0.39808744,0.29836547,0.16801184,0.22311096,0.24754468,0.19304487
0.9962012,0.9632624,0.9801048,0.781602,0.7850448,0.70006317,0.6943799,0.72520834,0.701176,0.75236875
